days_numbered,date,avg_air_temp,avg_water_temp,max_air_temp_khu,min_air_temp_khu,morning_water_temp_khu,afternoon_water_temp_khu
245,9/2/18,29.25,31.85,31.5,27,31.5,32.2
246,9/3/18,29.55,31.9,32.5,26.6,31,32.8
247,9/4/18,29.75,31,33,26.5,30.6,31.4
248,9/5/18,29.6,31.65,34,25.2,30.4,32.9
249,9/6/18,28.5,32.25,30.5,26.5,31.8,32.7
250,9/7/18,29.2,31.6,32.4,26,30.6,32.6
251,9/8/18,30.25,31.4,34,26.5,30.6,32.2
252,9/9/18,30.35,31.35,34.5,26.2,30.8,31.9
253,9/10/18,30,31.25,34.5,25.5,30.2,32.3
254,9/11/18,30.2,31.2,33.8,26.6,30.6,31.8
255,9/12/18,30,31.1,33.8,26.2,30.3,31.9
256,9/13/18,30.3,31.75,34.6,26,31,32.5
257,9/14/18,31.25,32.05,35,27.5,31.3,32.8
258,9/15/18,30.95,32.5,35.5,26.4,31.2,33.8
259,9/16/18,31.35,32.9,35.2,27.5,32,33.8
260,9/17/18,31.5,33.5,36,27,32.4,34.6
261,9/18/18,32.15,33.7,36.5,27.8,32.8,34.6
262,9/19/18,31.85,33.75,36.2,27.5,32.7,34.8
263,9/20/18,30.25,33.5,33,27.5,32.7,34.3
264,9/21/18,28,31.75,31,25,31.7,31.8
265,9/22/18,29.7,31.3,34.2,25.2,30.8,31.8
266,9/23/18,30.5,31.45,34.5,26.5,30.2,32.7
267,9/24/18,30.5,31.5,34.5,26.5,30.6,32.4
268,9/25/18,31,32.75,34.5,27.5,31.9,33.6
269,9/26/18,31.25,31.95,35,27.5,31.4,32.5
270,9/27/18,31,32.35,35,27,31.6,33.1
271,9/28/18,31.35,33.2,35.7,27,31.7,34.7
272,9/29/18,32,33.05,36.5,27.5,32.3,33.8
273,9/30/18,31.75,33.2,36,27.5,32.3,34.1
274,10/1/18,31,32.8,36.5,25.5,31.9,33.7
275,10/2/18,30.85,32.65,36.2,25.5,31.7,33.6
276,10/3/18,31.25,32.85,36,26.5,32,33.7
277,10/4/18,31,32.4,36,26,31.4,33.4
278,10/5/18,31.05,31.85,35.6,26.5,31.7,32
279,10/6/18,30.85,32.25,35.5,26.2,31.6,32.9
280,10/7/18,30.5,32.05,35.6,25.4,31.1,33
281,10/8/18,30.55,31.85,35.5,25.6,30.9,32.8
282,10/9/18,28.5,31.3,32.5,24.5,30.8,31.8
283,10/10/18,27.15,31.05,29.8,24.5,30.4,31.7
284,10/11/18,26.25,28.9,29,23.5,28.6,29.2
285,10/12/18,26.55,28.4,28.6,24.5,28.2,28.6
286,10/13/18,26,28,29,23,27,29
287,10/14/18,26.8,28.5,31,22.6,27.5,29.5
288,10/15/18,28.1,28.95,33,23.2,27.9,30
289,10/16/18,28.4,29.8,33.3,23.5,28.9,30.7
290,10/17/18,27.45,29.7,33.5,21.4,28.6,30.8
291,10/18/18,27.9,29.75,33.5,22.3,28.8,30.7
292,10/19/18,28.75,30.95,33.5,24,29.2,32.7
293,10/20/18,29.25,30.4,33.8,24.7,29.5,31.3
294,10/21/18,29.5,30.5,34,25,30,31
295,10/22/18,28.1,30.45,33.2,23,29.7,31.2
296,10/23/18,28.3,30.2,33.6,23,29.5,30.9
297,10/24/18,27.75,29.8,32.5,23,29.4,30.2
298,10/25/18,27.4,30,33,21.8,28.9,31.1
299,10/26/18,25.4,28.4,32,18.8,28.2,28.6
300,10/27/18,25.5,27.85,32,19,27.5,28.2
301,10/28/18,26.1,27.4,29.2,23,27.9,26.9
302,10/29/18,23.75,26.95,26,21.5,26.8,27.1
303,10/30/18,25.25,26.6,28.3,22.2,26.1,27.1
304,10/31/18,27.3,27.25,32,22.6,26.2,28.3
305,11/1/18,27.35,28.3,32.5,22.2,27.1,29.5
306,11/2/18,28.1,28.8,33,23.2,27.8,29.8
307,11/3/18,28.6,28.9,33.7,23.5,28.1,29.7
308,11/4/18,27.75,29.1,32.5,23,28.3,29.9
309,11/5/18,27.25,29.35,32,22.5,28.4,30.3
310,11/6/18,27.9,29.2,32.2,23.6,28.6,29.8
311,11/7/18,26.25,28.45,30,22.5,28.3,28.6
312,11/8/18,26.1,28,31.2,21,27.2,28.8
313,11/9/18,24,27.4,30,18,26.7,28.1
314,11/10/18,23.75,26.8,30,17.5,26.1,27.5
315,11/11/18,24.75,26.7,31,18.5,25.9,27.5
316,11/12/18,24.75,26.5,30.5,19,25.8,27.2
317,11/13/18,24.5,26.85,30.5,18.5,26,27.7
318,11/14/18,24.85,26.65,30.5,19.2,25.9,27.4
319,11/15/18,25.25,26.65,31.5,19,25.8,27.5
320,11/16/18,26.75,26.6,33,20.5,26,27.2
321,11/17/18,25.85,26.8,30.7,21,26.1,27.5
322,11/18/18,24.7,26.65,30.2,19.2,26.1,27.2
323,11/19/18,24.25,26.3,30.7,17.8,25.9,26.7
324,11/20/18,23.75,25.75,30,17.5,25.1,26.4
325,11/21/18,24.1,25.65,30.2,18,24.9,26.4
326,11/22/18,22.65,24.9,28.8,16.5,24.2,25.6
327,11/23/18,23.25,24.85,29.5,17,24.1,25.6
328,11/24/18,23,24.6,29,17,24,25.2
329,11/25/18,23.1,24.5,29.2,17,23.7,25.3
330,11/26/18,23.2,24.55,29.4,17,23.6,25.5
331,11/27/18,23.6,24.95,30.2,17,23.9,26
332,11/28/18,24.6,25.45,31.2,18,24,26.9
333,11/29/18,23.4,24.9,30,16.8,24.1,25.7
334,11/30/18,23.35,24.65,28.5,18.2,24,25.3
335,12/1/18,23.25,24.5,29,17.5,23.8,25.2
336,12/2/18,22.25,24.25,28.5,16,23.5,25
337,12/3/18,21.7,23.8,27.6,15.8,23.2,24.4
338,12/4/18,21.2,22.95,28.4,14,22.1,23.8
339,12/5/18,21.65,22.85,28.2,15.1,22.1,23.6
340,12/6/18,21.5,22.65,27.2,15.8,22.1,23.2
341,12/7/18,21,22.2,28,14,21.5,22.9
342,12/8/18,20.5,22,27.8,13.2,21.2,22.8
343,12/9/18,20.2,21.45,27.2,13.2,20.5,22.4
344,12/10/18,20.75,21.7,28.2,13.3,20.7,22.7
345,12/11/18,20.5,21.75,27.5,13.5,20.8,22.7
346,12/12/18,21.6,21.65,28.4,14.8,20.4,22.9
347,12/13/18,22,22.05,29,15,21.2,22.9
348,12/14/18,22.3,22.25,28.6,16,21.7,22.8
349,12/15/18,21,22.15,26,16,21.5,22.8
350,12/16/18,21.15,21.45,23.7,18.6,21.2,21.7
351,12/17/18,20.65,20.9,22.5,18.8,20.8,21
352,12/18/18,18.7,20.35,19.4,18,20.3,20.4
353,12/19/18,19.6,20.55,23.2,16,19.5,21.6
354,12/20/18,17.8,20.45,23.2,12.4,19.2,21.7
355,12/21/18,18.7,20.2,25,12.4,19.2,21.2
356,12/22/18,18.65,20.55,25.5,11.8,19.7,21.4
357,12/23/18,19.15,19.95,25.7,12.6,18.7,21.2
358,12/24/18,19.35,20,26.2,12.5,18.9,21.1
359,12/25/18,19.2,19.85,26,12.4,18.9,20.8
360,12/26/18,17.65,18.95,24.8,10.5,18.9,19
361,12/27/18,16.75,19.2,23.5,10,18.7,19.7
362,12/28/18,16.65,18.65,23.5,9.8,18.2,19.1
363,12/29/18,15.5,18.55,23,8,17.8,19.3
364,12/30/18,18,18.3,25.5,10.5,17.4,19.2
365,12/31/18,18,18.1,26,10,17,19.2
366,1/1/19,19.1,18.85,27,11.2,17.5,20.2
367,1/2/19,19.7,18.9,27,12.4,17.5,20.3
368,1/3/19,19.35,19.5,26.7,12,18,21
369,1/4/19,18.25,19.5,25.5,11,17.6,21.4
370,1/5/19,18.2,18.4,26.4,10,15.4,21.4
371,1/6/19,18.8,18.15,26.5,11.1,16.1,20.2
372,1/7/19,19.6,17.3,27.7,11.5,16.2,18.4
373,1/8/19,19.25,17.2,27,11.5,16.2,18.2
374,1/9/19,19,17.55,25.7,12.3,16.6,18.5
375,1/10/19,18.85,17.4,25.2,12.5,16.4,18.4
376,1/11/19,17.85,16.7,25.2,10.5,16.1,17.3
377,1/12/19,19,17.15,26.5,11.5,16.1,18.2
378,1/13/19,19.4,17.55,26.8,12,16.7,18.4
379,1/14/19,19,17.75,26.2,11.8,16.9,18.6
380,1/15/19,19.5,17.7,25.5,13.5,16.9,18.5
381,1/16/19,17.65,17,25.8,9.5,16.3,17.7
382,1/17/19,18.55,16.9,27,10.1,15.9,17.9
383,1/18/19,19,17.25,27,11,16.7,17.8
