YEAR,DOY,WS2M,RH2M,SRAD,air_min,air_max,SRAD_kj
2018,136,1.86,87.97,4.49,23.78,30.02,187.0833333
2018,137,1.25,81.97,23.36,23.96,31.84,973.3333333
2018,138,1.72,83.24,7.56,24.44,32.7,315
2018,139,1.79,82.85,23.23,25.01,32.88,967.9166667
2018,140,2.13,81.26,9.84,24.9,33.43,410
2018,141,2.2,82.53,12.46,24.93,33.09,519.1666667
2018,142,2.28,82.62,13.24,25.6,32.68,551.6666667
2018,143,2.14,89.88,6.4,26.03,30.32,266.6666667
2018,144,2.14,88.6,10.67,25.9,30.1,444.5833333
2018,145,2.62,87.76,18.85,25.82,31.49,785.4166667
2018,146,2.2,88.49,21.79,26.5,31.31,907.9166667
2018,147,1.91,87.35,23.44,25.95,31.5,976.6666667
2018,148,1.88,84.97,22.27,25.71,32.81,927.9166667
2018,149,1.33,79.73,21.72,25.36,33.31,905
2018,150,1.51,77.46,20.7,25.28,34.36,862.5
2018,151,2.44,89.45,9.51,26.5,31.33,396.25
2018,152,1.91,91.85,16.65,24.92,29.22,693.75
2018,153,1.42,88.97,17.53,24.85,30.35,730.4166667
2018,154,1.63,87.57,11.32,25.42,31.78,471.6666667
2018,155,1.48,89.88,15.76,26.29,31.32,656.6666667
2018,156,1.4,86.3,17.1,25.1,30.84,712.5
2018,157,1.13,83.97,17.41,26.35,32.41,725.4166667
2018,158,1.17,83.95,19.98,26.45,32.64,832.5
2018,159,1.15,88.21,19.67,26.89,31.04,819.5833333
2018,160,1.09,84.77,13.11,26.75,32.08,546.25
2018,161,3.1,94.15,10.71,26.63,28.61,446.25
2018,162,3.49,94.01,9.57,27.18,29.84,398.75
2018,163,3.23,94.42,14.4,27.38,29.67,600
2018,164,3.33,91.57,15.31,26.82,31.16,637.9166667
2018,165,2.72,91.87,22.31,27.15,31.76,929.5833333
2018,166,2.82,90.26,22.57,27.35,32.1,940.4166667
2018,167,2.42,89.2,19.82,26.96,31.89,825.8333333
2018,168,2.2,85.01,10.53,26.79,33.37,438.75
2018,169,2,87.31,23.44,26.08,32.89,976.6666667
2018,170,1.87,89.41,12.41,27.41,31.97,517.0833333
2018,171,1.42,90.59,14.38,27.07,30.78,599.1666667
2018,172,1.86,91.04,12.83,26.58,30.72,534.5833333
2018,173,1.97,91.24,17.26,26.41,30.24,719.1666667
2018,174,2.24,91.54,5.92,26.3,30,246.6666667
2018,175,2.35,94.66,5.01,26.41,28.51,208.75
2018,176,2.41,92.45,2.98,26.8,30.35,124.1666667
2018,177,1.71,90.2,16.69,25.93,29.94,695.4166667
2018,178,3.71,91.57,14.36,25.44,30.48,598.3333333
2018,179,3.12,90.97,16.42,25.75,29.91,684.1666667
2018,180,2.21,89.01,12.2,25.58,31.29,508.3333333
2018,181,2.85,88.53,11.57,25.69,31.23,482.0833333
2018,182,2.68,90.14,15.4,26.46,30.52,641.6666667
2018,183,3.03,90.13,15.33,26.35,31.3,638.75
2018,184,3.4,92.43,3.6,26.58,29.87,150
2018,185,2.94,93.16,5.08,26.37,29.72,211.6666667
2018,186,1.95,86.87,10.4,26.11,32.13,433.3333333
2018,187,1.77,86.96,20.09,26.43,32.53,837.0833333
2018,188,2.24,88.36,20.31,26.36,32.04,846.25
2018,189,3.22,89.12,16.26,26.86,31.58,677.5
2018,190,2.8,88.13,16.35,26.52,31.9,681.25
2018,191,2.61,89.87,14.54,26.8,31.73,605.8333333
2018,192,2.22,89.1,17.35,26.48,31.65,722.9166667
2018,193,2.05,89.36,15.79,26.67,31.5,657.9166667
2018,194,2,90.7,17.53,26.83,31.14,730.4166667
2018,195,2.42,90.39,18.11,26.65,31.55,754.5833333
2018,196,3.09,89.81,16.81,26.71,32.02,700.4166667
2018,197,3.36,88.63,17.37,26.77,32.09,723.75
2018,198,3.02,88.25,3.28,26.59,32.2,136.6666667
2018,199,2.03,86.84,18.6,26.75,32.92,775
2018,200,1.24,84.07,24.59,26.93,33.95,1024.583333
2018,201,1.95,87.23,18.09,27.24,33.25,753.75
2018,202,4.47,91.08,10.85,27.12,31.19,452.0833333
2018,203,4.87,90.94,14.19,26.83,30.49,591.25
2018,204,2.74,90.22,6.9,26.38,31.46,287.5
2018,205,1.82,91.24,4.95,26.48,31.04,206.25
2018,206,1.98,94.47,3.88,26.41,29.24,161.6666667
2018,207,2.43,95.33,2.53,25.91,28.49,105.4166667
2018,208,2.6,93.1,10.61,26.18,29.66,442.0833333
2018,209,2.3,91.87,9.21,25.74,30.36,383.75
2018,210,2.41,91.99,10.66,26.05,30.45,444.1666667
2018,211,2.25,90.71,12.93,25.88,31.09,538.75
2018,212,1.77,90.21,14.91,25.42,29.92,621.25
2018,213,3.18,92.42,5.46,25.71,29.15,227.5
2018,214,3.17,90.12,9.53,25.69,29.74,397.0833333
2018,215,2.48,90.64,9.58,25.91,30.97,399.1666667
2018,216,1.63,87.46,18.36,26.11,31.8,765
2018,217,1.65,89.56,14.18,26.49,31.85,590.8333333
2018,218,2.42,92.91,11.92,26.41,29.28,496.6666667
2018,219,2.91,90.47,17.51,26.25,30.84,729.5833333
2018,220,2.54,89.05,19.21,25.85,31.15,800.4166667
2018,221,2.01,87.77,17.48,25.84,31.56,728.3333333
2018,222,1.43,85.73,21.2,25.79,32.6,883.3333333
2018,223,1.97,89.3,21.43,26.21,31.42,892.9166667
2018,224,1.88,86.83,20.53,26.38,32.58,855.4166667
2018,225,1.99,89.45,16.11,26.45,31.13,671.25
2018,226,2.24,90.76,18.14,26.49,30.78,755.8333333
2018,227,3.5,89.26,13.78,26.76,31.38,574.1666667
2018,228,2.79,88.23,17.1,26.54,32.07,712.5
2018,229,1.34,88.02,17.92,25.9,31.03,746.6666667
2018,230,1.08,87.73,19.76,26.45,31.47,823.3333333
2018,231,1.7,92.76,4.25,26.49,29.37,177.0833333
2018,232,3.14,90.81,11.26,26.55,31.82,469.1666667
2018,233,2.21,90.02,8.15,26.21,31.63,339.5833333
2018,234,1.49,87.67,17.8,26.46,32.27,741.6666667
2018,235,1.4,91.91,16.71,26.61,30.39,696.25
2018,236,1.87,92.8,11.89,26.46,29.96,495.4166667
2018,237,1.99,90.59,18.37,26.09,31.84,765.4166667
2018,238,2.14,88.45,18.36,25.81,31.88,765
2018,239,2.77,90.5,16.45,26.52,31.16,685.4166667
2018,240,2.37,91.23,16.55,26.4,30.97,689.5833333
2018,241,2.32,88.39,17.46,26.05,32.1,727.5
2018,242,1.79,90.29,12.8,26.06,30.66,533.3333333
2018,243,1.62,89,18.7,26.27,32.14,779.1666667
2018,244,2.19,91.52,13.88,26.18,30.77,578.3333333
2018,245,2.49,93.3,9.05,26.03,29.8,377.0833333
2018,246,1.79,90.47,12.71,25.87,30.54,529.5833333
2018,247,0.87,85.63,13.26,25.66,32.01,552.5
2018,248,2.25,89.12,19.04,25.89,31.08,793.3333333
2018,249,4.53,90.99,8,25.72,30.26,333.3333333
2018,250,3.02,89.58,17.37,25.61,30.67,723.75
2018,251,2.02,87.42,20.14,25.01,31.72,839.1666667
2018,252,1.56,89.15,19.36,25.1,30.2,806.6666667
2018,253,2.02,87.87,18.41,25.19,31.28,767.0833333
2018,254,1.93,88.62,11.33,25.37,31.54,472.0833333
2018,255,1.54,91.77,12.16,26.04,30.09,506.6666667
2018,256,1.4,89.57,12.98,25.69,31.4,540.8333333
2018,257,1.2,88.24,16.79,25.92,30.5,699.5833333
2018,258,0.66,83.38,19.12,26.22,31.23,796.6666667
2018,259,1.02,86.04,20.53,25.49,30.69,855.4166667
2018,260,1.13,83.59,20.97,25.26,32.22,873.75
2018,261,1.32,85.19,21.84,25.85,31.49,910
2018,262,1.1,87.34,20.57,26.1,31.17,857.0833333
2018,263,2.59,92.87,12.98,26.46,29.38,540.8333333
2018,264,2.45,94.2,9.95,25.61,29.34,414.5833333
2018,265,0.82,84.91,15.75,25.17,31.31,656.25
2018,266,1.22,85.6,21.13,24.67,31,880.4166667
2018,267,1.51,86.81,17.06,24.67,30.97,710.8333333
2018,268,1.42,89.41,17.48,25.51,30.79,728.3333333
2018,269,1.03,85.75,14.52,25.86,31.11,605
2018,270,1.03,90.39,11.76,25.72,30.28,490
2018,271,0.64,84.78,18.81,25.25,31.25,783.75
2018,272,0.88,82.33,19.48,25.11,32.45,811.6666667
2018,273,1.1,81.89,19.99,24.91,32.52,832.9166667
2018,274,1.06,77.6,21.4,24.52,32.7,891.6666667
2018,275,1.2,79.15,20.88,23.59,32.24,870
2018,276,1.24,79.82,19.05,23.72,32.12,793.75
2018,277,1.13,75.81,20.41,23.49,32.54,850.4166667
2018,278,0.82,75.85,19.35,24.45,32.11,806.25
2018,279,0.97,75.09,20.48,24.38,31.87,853.3333333
2018,280,0.89,70.26,19.83,23.99,31.77,826.25
2018,281,0.64,71.28,20.64,24.4,31.86,860
2018,282,1.15,79.57,11.91,23.87,30.92,496.25
2018,283,1.97,92.34,4.98,23.68,27.42,207.5
2018,284,2.25,94.04,10.87,24.25,27.6,452.9166667
2018,285,1.72,87.8,6.09,24.08,29.79,253.75
2018,286,2.26,92.56,12.24,24.48,27.59,510
2018,287,1.72,85.25,17.96,23.64,29.27,748.3333333
2018,288,0.97,75.05,18.97,21.77,30.61,790.4166667
2018,289,0.97,74.34,19.46,21.22,30.01,810.8333333
2018,290,0.92,71.34,19.91,20.48,29.68,829.5833333
2018,291,0.99,74.91,19.36,21.06,30.48,806.6666667
2018,292,0.72,74.22,17.24,22.08,31.03,718.3333333
2018,293,0.49,69.12,18.45,23.33,31.22,768.75
2018,294,0.86,70.48,17.48,23.13,31.01,728.3333333
2018,295,1.09,74.28,19.08,21.9,30.78,795
2018,296,1.27,76.12,18.11,20.68,30.4,754.5833333
2018,297,1.15,75.53,18.14,20.88,30.06,755.8333333
2018,298,1.37,70.93,19.12,19.98,29.8,796.6666667
2018,299,1.26,66.69,19.07,17.66,29.43,794.5833333
2018,300,0.92,66.54,18.53,18.54,29.37,772.0833333
