time,latitude,longitude,WS10M,RH2M,T2M,ALLSKY_SFC_SW_DWN
101,22.78331,89.53331,3.382556589,57.76438178,30.36799155,5.913456686
102,22.78331,89.53331,3.339063563,56.0083234,30.55563386,6.069876016
103,22.78331,89.53331,3.306289045,55.20370411,30.56613452,6.060286075
104,22.78331,89.53331,3.149872002,56.1230823,30.54548592,5.837712713
105,22.78331,89.53331,3.254192638,57.70291456,30.58108885,6.192307266
106,22.78331,89.53331,3.365494873,58.16147399,30.7082009,5.929438124
107,22.78331,89.53331,3.562259876,59.09781154,30.77286056,5.762092034
108,22.78331,89.53331,3.565336844,58.70674689,30.89937104,5.935169298
109,22.78331,89.53331,3.755395409,58.99015358,30.97799386,6.092799217
110,22.78331,89.53331,3.625178748,56.89678486,31.19467944,6.266773989
111,22.78331,89.53331,3.64434228,57.22318984,31.04971657,6.100179385
112,22.78331,89.53331,3.688153202,57.76745707,31.0016362,5.659985531
113,22.78331,89.53331,3.539927866,57.26739113,31.12336495,6.310173088
114,22.78331,89.53331,3.704181948,57.21193892,31.21562035,6.22594756
115,22.78331,89.53331,3.716954669,58.00907861,31.14954057,6.109533984
116,22.78331,89.53331,3.736847366,57.72736047,31.24535347,6.23849989
117,22.78331,89.53331,3.603879797,58.76735464,30.97938291,6.270742263
118,22.78331,89.53331,3.614877348,59.75246642,31.08281078,6.013913352
119,22.78331,89.53331,4.009647279,60.96138099,31.1078275,6.1119719
120,22.78331,89.53331,3.843427331,61.60657507,31.02682338,5.73639054
121,22.78331,89.53331,3.637415143,61.94497659,30.96400574,6.185527267
122,22.78331,89.53331,3.687677015,63.60492183,30.68876269,5.895823291
123,22.78331,89.53331,3.66096037,65.99038132,30.39416694,5.881416588
124,22.78331,89.53331,3.537086761,66.09954039,30.26758378,5.739784391
125,22.78331,89.53331,3.017749917,66.42635561,30.06104092,5.461448569
126,22.78331,89.53331,3.202819261,65.19610709,30.35968153,5.812917169
127,22.78331,89.53331,3.510587106,65.20965171,30.48434531,5.723548519
128,22.78331,89.53331,3.274728494,65.84736365,30.60837896,5.954776493
129,22.78331,89.53331,3.311794424,66.38862426,30.71434039,5.664989651
130,22.78331,89.53331,3.374684772,67.56541985,30.72808261,6.009285934
131,22.78331,89.53331,3.282151434,69.48368271,30.58808031,5.71590252
132,22.78331,89.53331,2.989296861,68.27676621,30.64267245,5.868983922
133,22.78331,89.53331,3.445267248,67.80303839,30.73007129,5.888933268
134,22.78331,89.53331,3.301202977,71.27844571,30.15457152,5.930284153
135,22.78331,89.53331,3.332423645,70.28860514,30.29904067,5.750998896
136,22.78331,89.53331,3.215609137,70.26652431,30.27445506,5.801193448
137,22.78331,89.53331,3.091492677,67.9557885,30.67979561,5.840027108
138,22.78331,89.53331,3.148747505,68.54711804,30.8738595,5.532293087
139,22.78331,89.53331,3.212742882,70.6079899,30.7199621,5.982660021
140,22.78331,89.53331,3.294929798,71.04796932,30.63898538,5.592358652
141,22.78331,89.53331,3.334059634,71.25164438,30.65654889,5.173424527
142,22.78331,89.53331,3.610848115,72.54192076,30.50215163,5.54406654
143,22.78331,89.53331,3.554460779,73.02291201,30.44014101,5.440222417
144,22.78331,89.53331,3.582134477,76.90161175,29.9021112,4.525391212
145,22.78331,89.53331,3.65897797,78.1014362,29.69828554,5.020687884
146,22.78331,89.53331,3.5380389,78.70817288,29.7116006,5.239108992
147,22.78331,89.53331,3.492084161,78.34043352,29.62763885,5.577604203
148,22.78331,89.53331,3.477748858,78.01832709,29.6534376,4.928811189
149,22.78331,89.53331,3.264820812,77.88778988,29.58439317,5.140784253
150,22.78331,89.53331,3.425616849,76.79974547,29.89959266,5.606240218
151,22.78331,89.53331,3.526878148,77.45202107,29.96151607,5.297081755
152,22.78331,89.53331,3.389177098,79.36397314,29.70668477,5.469312942
153,22.78331,89.53331,3.206461428,78.56632354,29.74701048,4.998404717
154,22.78331,89.53331,3.097637219,79.31870326,29.74316665,5.246455181
155,22.78331,89.53331,3.081119784,80.26513009,29.63062477,5.05856624
156,22.78331,89.53331,3.145666395,80.91556497,29.42646246,4.768676438
157,22.78331,89.53331,3.327939933,80.67511198,29.46409598,4.789878074
158,22.78331,89.53331,3.607181861,81.4086152,29.34739737,4.606947129
159,22.78331,89.53331,3.294139952,81.97991408,29.35192042,4.570895155
160,22.78331,89.53331,3.249387995,81.79000955,29.33778937,4.254329652
161,22.78331,89.53331,3.673741508,83.82833425,29.07353292,4.555052577
162,22.78331,89.53331,3.976106654,84.32477424,29.15531507,4.476964931
163,22.78331,89.53331,4.079996655,84.06768324,29.29170988,4.364673605
164,22.78331,89.53331,3.95477115,84.17182092,29.27920091,4.145517369
165,22.78331,89.53331,3.763543526,85.14829336,29.08097066,4.209631746
166,22.78331,89.53331,3.551953362,85.39975367,29.02028394,4.329877816
167,22.78331,89.53331,3.555656924,85.71464081,28.95197636,4.620032812
168,22.78331,89.53331,3.692096975,85.53715793,28.92469356,4.339834089
169,22.78331,89.53331,3.763508926,86.48385998,28.74886712,4.623010305
170,22.78331,89.53331,3.678446217,85.52345535,28.89986372,4.205676288
171,22.78331,89.53331,3.646981732,86.00208459,28.78448764,3.824920791
172,22.78331,89.53331,3.860177643,86.28077179,28.72816501,3.489751283
173,22.78331,89.53331,4.169478292,86.3942554,28.86905025,3.698235149
174,22.78331,89.53331,4.065386212,87.30564922,28.65417041,3.521942413
175,22.78331,89.53331,4.115860337,87.30083558,28.71708551,3.393936231
176,22.78331,89.53331,4.024648553,87.38267031,28.62520891,3.761455335
177,22.78331,89.53331,4.164002979,86.90665951,28.66485385,3.873432979
178,22.78331,89.53331,4.208676475,86.89656391,28.66169509,4.015498336
179,22.78331,89.53331,4.284901576,87.94436009,28.6631923,3.496016061
180,22.78331,89.53331,4.110709201,88.27424171,28.60212514,3.490714014
181,22.78331,89.53331,3.782765798,89.15482099,28.47765599,3.492141502
182,22.78331,89.53331,3.680815566,88.28389066,28.57562458,3.585027571
183,22.78331,89.53331,4.082648332,88.68472608,28.4641117,3.253815718
184,22.78331,89.53331,3.994214526,88.6532828,28.33668565,3.011552307
185,22.78331,89.53331,4.059652873,88.75521752,28.33562517,3.693586369
186,22.78331,89.53331,3.871459528,88.27690221,28.39148722,3.801582717
187,22.78331,89.53331,3.902836909,88.44937972,28.47640096,4.029482417
188,22.78331,89.53331,3.878793587,88.22598141,28.49261099,4.108419855
189,22.78331,89.53331,4.017239188,88.39209826,28.43682565,4.009781985
190,22.78331,89.53331,4.23895021,88.09464045,28.48427852,3.794957254
191,22.78331,89.53331,4.244267756,88.83566887,28.45873633,3.835570275
192,22.78331,89.53331,4.03663657,89.75312891,28.28097906,4.009937522
193,22.78331,89.53331,3.815665868,88.81301919,28.43002209,3.890559764
194,22.78331,89.53331,3.772680272,89.39287547,28.40749828,3.571867953
195,22.78331,89.53331,3.925641897,89.30048183,28.49725316,4.517665761
196,22.78331,89.53331,3.981763875,89.54685628,28.34935162,4.008132274
197,22.78331,89.53331,3.856727531,89.04978815,28.30269858,4.08835168
198,22.78331,89.53331,3.853175959,88.38840161,28.41597919,4.200060277
199,22.78331,89.53331,3.843412514,88.84500575,28.37555938,4.137858514
200,22.78331,89.53331,4.196229563,89.5440435,28.32211477,3.530743371
201,22.78331,89.53331,4.241697209,89.79692031,28.250659,2.878782784
202,22.78331,89.53331,4.194568526,90.1103592,28.13254587,3.311413293
203,22.78331,89.53331,4.155877174,89.58725344,28.00411354,3.21772054
204,22.78331,89.53331,3.761157948,89.66287374,28.00930162,4.081260774
205,22.78331,89.53331,3.560690357,89.3562305,28.14452021,4.036404471
206,22.78331,89.53331,3.523794648,89.78084295,28.13771912,3.692520025
207,22.78331,89.53331,3.699259136,90.28142324,28.00932439,3.695380805
208,22.78331,89.53331,4.022890587,90.581508,27.84504961,3.941014517
209,22.78331,89.53331,4.002421598,89.79100032,27.95488312,3.823064115
210,22.78331,89.53331,4.057236197,90.42808071,27.97248507,3.926355816
211,22.78331,89.53331,3.663764432,89.86953931,28.06203099,4.027251941
212,22.78331,89.53331,3.50893677,89.39635668,28.05128167,4.264618257
213,22.78331,89.53331,3.483649639,88.83361118,28.11942311,4.375877813
214,22.78331,89.53331,3.374685192,88.96449849,28.12277114,4.20218815
215,22.78331,89.53331,3.426467726,89.57310347,28.11896592,4.431373857
216,22.78331,89.53331,3.481069003,89.18255437,28.16269055,4.572204971
217,22.78331,89.53331,3.602619923,89.7842587,28.22733388,4.165406016
218,22.78331,89.53331,3.757059585,89.90609267,28.10907263,3.834569289
219,22.78331,89.53331,3.516596892,89.39411755,28.20481415,3.948791293
220,22.78331,89.53331,3.248010167,89.37047408,28.21094032,4.19977384
221,22.78331,89.53331,2.956470833,88.80505071,28.33839327,4.218744096
222,22.78331,89.53331,3.380942457,89.71960565,28.29969088,4.23893148
223,22.78331,89.53331,3.703042803,89.89860326,28.15086348,3.744389368
224,22.78331,89.53331,3.80536151,90.4672076,28.09493079,3.415819028
225,22.78331,89.53331,3.752043457,91.20015771,27.89466859,3.184591422
226,22.78331,89.53331,3.323954221,91.39289413,27.86508632,2.735710917
227,22.78331,89.53331,3.47337085,90.50173401,28.03097842,3.354185766
228,22.78331,89.53331,3.23203626,90.7045471,27.90047408,3.82234953
229,22.78331,89.53331,3.1232769,89.65846056,27.9175805,3.815089646
230,22.78331,89.53331,3.586985687,90.08560056,27.92685787,4.233393913
231,22.78331,89.53331,3.594385189,89.97242716,27.95124068,3.88015425
232,22.78331,89.53331,3.252992316,89.82243972,27.97269294,4.053096127
233,22.78331,89.53331,3.288055128,89.04404724,28.00044588,4.214607775
234,22.78331,89.53331,3.51687836,88.57538184,28.03462593,4.212250541
235,22.78331,89.53331,3.343863474,88.73746912,27.99365603,4.36006893
236,22.78331,89.53331,2.974424003,89.83919496,27.83819666,4.417780022
237,22.78331,89.53331,2.827935352,89.39354282,27.96526687,4.783320954
238,22.78331,89.53331,2.955783922,90.28140366,27.97187155,4.369170798
239,22.78331,89.53331,3.091721101,89.63437854,27.91539803,3.82526462
240,22.78331,89.53331,3.244861037,90.06546318,27.87144474,4.342717736
241,22.78331,89.53331,3.221506878,89.96273347,27.90062376,4.281648696
242,22.78331,89.53331,2.93435292,89.30267133,28.00926434,4.187029275
243,22.78331,89.53331,2.929341283,89.93413673,27.97747234,3.999625283
244,22.78331,89.53331,3.01675305,89.38314693,27.98254195,3.974000886
245,22.78331,89.53331,3.037102399,89.70980616,27.8529657,4.146966406
